"","filter_match","X","SMAS_ID","COMID","YEAR","latitude","longitude","NOTES","MILES","BASIN","RECENT_SAMPLE_DATE","PREVIOUS_SAMPLE_DATE_1","PREVIOUS_SAMPLE_DATE_2","PREVIOUS_SAMPLE_DATE_3","PREVIOUS_SAMPLE_DATE_4","PREVIOUS_SAMPLE_DATE_5","PREVIOUS_SAMPLE_DATE_6","PREVIOUS_SAMPLE_DATE_7","X17","X1","wgt","adj_wgt","mdcaty","SO","start","end","matching","CHEM_PARAMETER_NAME","CHEM_PARAMETER_UNIT_NOSP","CHEM_PARAMETER_FRACTION","median"
"1","01-CLAR-18.5_2020",91,"01-CLAR-18.5",15582177,2020,42.49466373,-78.82008473,NA,0,1,"9/16/2020",NA,NA,NA,NA,NA,NA,NA,NA,528,385.747737,1766.29640513374,"1st",1,2018,2022,"01-CLAR-18.5_15582177_2020_2018","NITROGEN, NITRITE","mg/L","TOTAL",0.0035
"2","01-CLAR-18.5_2020",91,"01-CLAR-18.5",15582177,2020,42.49466373,-78.82008473,NA,0,1,"9/16/2020",NA,NA,NA,NA,NA,NA,NA,NA,528,385.747737,1766.29640513374,"1st",1,2018,2022,"01-CLAR-18.5_15582177_2020_2018","NITROGEN, NITRATE-NITRITE","mg/L","TOTAL",0.328
"3","01-CLAR-18.5_2020",91,"01-CLAR-18.5",15582177,2020,42.49466373,-78.82008473,NA,0,1,"9/16/2020",NA,NA,NA,NA,NA,NA,NA,NA,528,385.747737,1766.29640513374,"1st",1,2018,2022,"01-CLAR-18.5_15582177_2020_2018","ARSENIC","ug/L","TOTAL",0.59
"4","01-CLAR-18.5_2020",91,"01-CLAR-18.5",15582177,2020,42.49466373,-78.82008473,NA,0,1,"9/16/2020",NA,NA,NA,NA,NA,NA,NA,NA,528,385.747737,1766.29640513374,"1st",1,2018,2022,"01-CLAR-18.5_15582177_2020_2018","NITROGEN, TOTAL","mg/L","TOTAL",0.9
"5","01-CLAR-18.5_2020",91,"01-CLAR-18.5",15582177,2020,42.49466373,-78.82008473,NA,0,1,"9/16/2020",NA,NA,NA,NA,NA,NA,NA,NA,528,385.747737,1766.29640513374,"1st",1,2018,2022,"01-CLAR-18.5_15582177_2020_2018","CADMIUM","ug/L","TOTAL",0.19
"6","01-CLAR-18.5_2020",91,"01-CLAR-18.5",15582177,2020,42.49466373,-78.82008473,NA,0,1,"9/16/2020",NA,NA,NA,NA,NA,NA,NA,NA,528,385.747737,1766.29640513374,"1st",1,2018,2022,"01-CLAR-18.5_15582177_2020_2018","TURBIDITY","NTU","TOTAL",3
"7","01-CLAR-18.5_2020",91,"01-CLAR-18.5",15582177,2020,42.49466373,-78.82008473,NA,0,1,"9/16/2020",NA,NA,NA,NA,NA,NA,NA,NA,528,385.747737,1766.29640513374,"1st",1,2018,2022,"01-CLAR-18.5_15582177_2020_2018","ZINC","ug/L","TOTAL",1.25
"8","01-CLAR-18.5_2020",91,"01-CLAR-18.5",15582177,2020,42.49466373,-78.82008473,NA,0,1,"9/16/2020",NA,NA,NA,NA,NA,NA,NA,NA,528,385.747737,1766.29640513374,"1st",1,2018,2022,"01-CLAR-18.5_15582177_2020_2018","NITROGEN, NITRATE (AS N)","mg/L","TOTAL",0.328
"9","01-CLAR-18.5_2020",91,"01-CLAR-18.5",15582177,2020,42.49466373,-78.82008473,NA,0,1,"9/16/2020",NA,NA,NA,NA,NA,NA,NA,NA,528,385.747737,1766.29640513374,"1st",1,2018,2022,"01-CLAR-18.5_15582177_2020_2018","IRON","ug/L","TOTAL",196
"10","01-CLAR-18.5_2020",91,"01-CLAR-18.5",15582177,2020,42.49466373,-78.82008473,NA,0,1,"9/16/2020",NA,NA,NA,NA,NA,NA,NA,NA,528,385.747737,1766.29640513374,"1st",1,2018,2022,"01-CLAR-18.5_15582177_2020_2018","SILVER","ug/L","TOTAL",0.075
"11","01-CLAR-18.5_2020",91,"01-CLAR-18.5",15582177,2020,42.49466373,-78.82008473,NA,0,1,"9/16/2020",NA,NA,NA,NA,NA,NA,NA,NA,528,385.747737,1766.29640513374,"1st",1,2018,2022,"01-CLAR-18.5_15582177_2020_2018","NICKEL","ug/L","TOTAL",0.72
